Proton,Neutron,Mass,Nucleus,Name,Spin,Abundance (%),Gamma (MHz/T),Q (fm^2),$\gamma_h/\gamma_n$,Refsample,SampleCondition,Lifetime(y),Gamma
79,118,197,Au,Gold,1.5,100,0.752898374,54.7,1.729,-,-,-,0.47306
80,119,199,Hg,Mercury,0.5,16.87,7.712316863,0,17.910822,Me<sub>2</sub>Hg,neat,-,4.8457916
80,121,201,Hg,Mercury,1.5,13.18,-2.846914284,38.7,6.611583,C(CH<sub>3</sub>)<sub>2</sub>Hg,neat,-,-1.788769
81,122,203,Tl,Thalium,0.5,29.524,24.73161787,0,57.1232,Tl(NO<sub>3</sub>)<sub>3</sub>,-,-,15.5393338
81,124,205,Tl,Thalium,0.5,70.476,24.97488142,0,57.683838,Tl(NO<sub>3</sub>)<sub>3</sub>,-,-,15.6921808
82,125,207,Pb,Lead,0.5,22.1,8.881577937,0,20.920599,Me<sub>4</sub>Pb,neat/C<sub>6</sub>D<sub>6</sub>,>1.9e21 y,5.58046
83,126,209,Bi,Bismuth,4.5,100,6.96302876,-51.6,16.069288,Bi(NO<sub>3</sub>)<sub>2</sub>,HNO<sub>3</sub>/D<sub>2</sub>O/H<sub>2</sub>O,2.0e19 y,4.375
84,125,209,Po,Polonium,0.5,-,11.69788832,0,27.5,-,-,128 y,7.35
85,#VALUE!,-,At,Astatine,-,-,#VALUE!,-,-,-,-,-,-
86,125,211,Rn,Radon,0.5,-,9.167324722,0,21.5,-,-,14.6 h,5.76
87,136,223,Fr,Francium,1.5,-,6.127465309,117,14,-,-,22.0 m,3.85
88,135,223,Ra,Radium,1.5,-,1.374605328,121,3.2293,-,-,11.43 d,0.86369
88,137,225,Ra,Radium,0.5,-,11.18700095,0,26.275,-,-,14.9 d,7.029
89,138,227,Ac,Actinium,1.5,-,5.570423008,170,13,-,-,21.77 y,3.5
90,139,229,Th,Thorium,2.5,-,0.636619772,311,1.5,-,-,7.93e3 y,0.4
91,140,231,Pa,Protactinium,1.5,100,5.108873673,-172,12,-,-,3.25e4 y,3.21
92,143,235,U,Uranium,3.5,0.72,-0.827605704,493.6,1.8414,UF<sub>6</sub>,"C<sub>6</sub>D<sub>6</sub>, φ = 10% ",7.03e8 y,-0.52
93,144,237,Np,Neptunium,2.5,-,9.56521208,388.6,22.5,-,-,2.14e6 y,6.01
94,145,239,Pu,Plutonium,0.5,-,1.550169146,0,3.63,-,-,2.410e4 y,0.974
95,148,243,Am,Amercium,2.5,-,2.450986124,420,5.76,-,-,7.37e3 y,1.54
96,151,247,Cm,Curium,4.5,-,0.318309886,-,0.75,-,-,1.56e7 y,0.2
